X1	X2
Potra2n9c18924	GO:0009055,GO:0016021,GO:0022900,GO:0046658
Potra2n9c18941	GO:0003688,GO:0003697,GO:0006270,GO:0031298,GO:0046809
Potra2n9c18940	GO:0000162,GO:0003856,GO:0003924,GO:0005525,GO:0005730,GO:0005819,GO:0005829,GO:0005886,GO:0005938,GO:0006571,GO:0007015,GO:0007163,GO:0007266,GO:0008360,GO:0009094,GO:0009423,GO:0009524,GO:0009958,GO:0010928,GO:0015031,GO:0016021,GO:0019003,GO:0019901,GO:0030906,GO:0032956,GO:0042147,GO:0042995
Potra2n9c18963	GO:0005576,GO:0006952,GO:0016021
Potra2n9c18961	GO:0016021
Potra2n9c18957	GO:0016021
Potra2n9c18937	GO:0003700,GO:0005667,GO:0006355,GO:0045449
Potra2n9c18932	GO:0003881,GO:0008654,GO:0016021,GO:0046486
Potra2n9c18958	GO:0000413,GO:0003755,GO:0005768,GO:0005802,GO:0016018,GO:0016020,GO:0042026,GO:0051082
Potra2n9c18953	GO:0008194,GO:0016758,GO:0043231
Potra2n9c18986	GO:0004807,GO:0005829,GO:0006000,GO:0006013,GO:0006020,GO:0006094,GO:0006096,GO:0015976,GO:0019563,GO:0046166,GO:0046486
Potra2n9c18992	GO:0015267,GO:0016021,GO:0055085
Potra2n9c18996	GO:0015267,GO:0016021,GO:0055085
Potra2n9c18969	GO:0003676,GO:0005634,GO:0052907,GO:0070475
Potra2n9c18985	GO:0046983
Potra2n9c18988	GO:0005783,GO:0005801,GO:0006621,GO:0006888,GO:0016021,GO:0033926,GO:0046923
Potra2n9c18974	GO:0004672,GO:0005524,GO:0005525,GO:0006468,GO:0009707,GO:0016817,GO:0045036
Potra2n9c19007	GO:0003743,GO:0005840,GO:0006355,GO:0006446,GO:0009909,GO:0035267,GO:0043981,GO:0048510,GO:0090239,GO:2000028
